Abdominal and Rib pain Guess what is the Cause and how to treat?,https://www.youtube.com/watch?v=4_sTej7shfw,,,,
F / U after 5 min  of neuromuscular tech. Iliocostalis muscle spasmDr Salem DPT NYC,https://www.youtube.com/watch?v=VEKxO4qcHBk,,,,
Tennis Elbow Treatment WITH MWM by Dr Salem DPT BROOKLYN NY,https://www.youtube.com/watch?v=GSs_aEs0kj4,,,,
4-Sep,2020,https://www.youtube.com/watch?v=GcaMsudr9Po,,,
Dr. Abdelrahman Salem Doctor of Physical Therapy Brooklyn NY,https://www.youtube.com/watch?v=_Q5fpIOXDn4,,,,
TREATMENT Of Ankle and foot pain AFTER injury with Dr. Salem,https://www.youtube.com/watch?v=E_mCiF1oz9c,,,,
Twitches in the face muscles treated  successfully with Physical Therspy,https://www.youtube.com/watch?v=5kF1a45bQTo,,,,
Low back pain at the job due to rotation, treatment,https://www.youtube.com/watch?v=9IH_8bYxDuU,,,
Dr.Salem and Dr.Salama Physical Therapy at Brooklyn Office,https://www.youtube.com/watch?v=nJJ8ZRJ5wpU,,,,
Dr. Abdelrahman  SALEM PHYSICAL  BROOKLYN NY,https://www.youtube.com/watch?v=8lBC6oNULD8,,,,
                   .,https://www.youtube.com/watch?v=MN8CFvnWnj8,,,,
     .          ,https://www.youtube.com/watch?v=4ej47jIdoZo,,,,
17-Jul,2017,https://www.youtube.com/watch?v=rhxaD5Ptl8Y,,,
Dr. Abdelrahman SALEM PHYSICAL THERAPY,https://www.youtube.com/watch?v=ARLMg5VpTo8,,,,
.      ,https://www.youtube.com/watch?v=lZnehwsnNsg,,,,
.       ,https://www.youtube.com/watch?v=rf6Pj7IgJDA,,,,
.        ,https://www.youtube.com/watch?v=Wq__q33UMNU,,,,
              ,,,,,
.  ,https://www.youtube.com/watch?v=fTpI7c8jgFM,,,,
           .       ,https://www.youtube.com/watch?v=xpsX4b9jo_E,,,,
Dr. Abdelrahman Salem DPT physical therapy Brooklyn NY,https://www.youtube.com/watch?v=qAxhSgLLHXA,,,,
           ,https://www.youtube.com/watch?v=iB9rfT34WDw,,,,
.      ,https://www.youtube.com/watch?v=ObnukoXfmE4,,,,
.      ,https://www.youtube.com/watch?v=7Uj5FzXv93A,,,,
.         ,https://www.youtube.com/watch?v=sLGdRS0YwG0,,,,
Dr.Abelrahman Salem DPT physical therapy Sheepshead Bay Brooklyn,https://www.youtube.com/watch?v=ngHOCK5NNXM,,,,
Dr. Abdelrahman Salem DPT, Physical Therapy Sheepshead Bay Brooklyn,https://www.youtube.com/watch?v=AG4XPenHevQ,,,
Dr.Abelrahman Salem DPT Physical Therapy Brooklyn Sheepshead Bay,https://www.youtube.com/watch?v=RWlHflzUvgk,,,,
Dr. ABDELRAHMAN SALEM DPT SHEEPSHEAD BROOKLYN PHYSICALTHERAPY,https://www.youtube.com/watch?v=q_aBQyDoAQ0,,,,
29-Sep,2016,https://www.youtube.com/watch?v=u9v9FTjTD9E,,,
Dr. Abdelrahman Salem DPT physical therapy Brooklyn,https://www.youtube.com/watch?v=GskyPG4NFzQ,,,,
